"","log2FoldChange","padj"
"H2BC20P",-0.630021914469903,1
"H2BC21",-0.455620023206369,1
"BOLA1",0.1876742198366,1
"SF3B4",0.344555801290001,1
"MTMR11",0.854662607358191,1
"OTUD7B",0.415399312693721,1
"VPS45",-0.150536941727598,1
"PLEKHO1",0.115023138942322,1
"ANP32E",-0.0778089754569387,1
"CA14",-0.0169677556897463,1
"APH1A",0.171007682402447,1
"C1orf54",0.607266132352923,1
"CIART",1.0262222979862,1
"MRPS21",-0.101857401691692,1
"PRPF3",0.25781218566217,1
"RPRD2",-0.0467239000055589,1
"TARS2",0.298681910130086,1
"ECM1",-0.523444835020727,1
"ADAMTSL4",1.17754410184124,1
"MCL1",0.518692047977327,1
"ENSA",0.124950615288329,1
"GOLPH3L",0.89311497940071,1
"CTSS",0.0482580224990527,1
"CTSK",0.0226240702276268,1
"ARNT",-0.392891653109214,1
"SETDB1",0.102593502519524,1
"CERS2",-0.312777681716338,1
"ANXA9",-0.0812681283893573,1
"MINDY1",0.145631292385833,1
"PRUNE1",0.279580112331151,1
"BNIPL",0.0986422692070958,1
"C1orf56",0.106902028778112,1
"CDC42SE1",0.37803514860939,1
"MLLT11",-0.0218465644065343,1
"GABPB2",-0.188600674100973,1
"TNFAIP8L2",-0.363166257668564,1
"SCNM1",0.0042461248087251,1
"TNFAIP8L2-SCNM1",0.0042461248087251,1
"LYSMD1",0.136151307113358,1
"TMOD4",0.326235410588612,1
"VPS72",0.175387035372742,1
"PIP5K1A",0.00429620821504816,1
"PSMD4",0.13038087211921,1
"ZNF687",0.477841040359176,1
"PI4KB",0.413080913734097,1
"RFX5",0.101173368871955,1
"PSMB4",0.205987705753932,1
"POGZ",0.414971649269125,1
"CGN",0.736637578016575,1
"TUFT1",0.545610989328057,1
"SNX27",0.137757684164242,1
"MRPL9",0.0848488096590794,1
"TDRKH",-0.267128083466809,1
"THEM4",0.742924086494463,1
"S100A10",0.0730882273616536,1
"S100A11",0.0584168447717005,1
"S100A6",-0.147124455191734,1
"S100A5",-0.0857921580476198,1
"S100A4",-0.218995743111659,1
"S100A3",-0.0490248468270514,1
"S100A2",-0.670113424591496,1
"S100A13",0.152217245914686,1
"S100A1",1.1296309576881,1
"CHTOP",0.311052989517499,1
"SNAPIN",0.131191153787672,1
"ILF2",0.0294700074883191,1
"GATAD2B",-0.0688238565932607,1
"LOC101928059",1.0194105121542,1
"DENND4B",-0.152395242769626,1
"CRTC2",0.230293130375337,1
"CREB3L4",-0.407217853388675,1
"JTB",-0.0798087715527926,1
"RPS27",0.0585341427587012,1
"TPM3",0.251396479966686,1
"C1orf43",-0.199069782788084,1
"UBAP2L",0.0198162437494294,1
"HAX1",0.161091363427107,1
"ATP8B2",0.405426587830616,1
"IL6R",-0.164580832554409,1
"UBE2Q1",-0.0731117745364241,1
"ADAR",0.453489345754491,1
"PMVK",0.0162048716428034,1
"PBXIP1",0.357918699007754,1
"PYGO2",0.0264881320193909,1
"SHC1",0.335436424926203,1
"CKS1B",-0.138110307112389,1
"FLAD1",0.0679596149133182,1
"ZBTB7B",-0.330548496605476,1
