Symbol,xRNA16h,xRNA6h,pUUC16h,pUUC6h,R84816h,R8486h
F13A1,-1.618321427,-0.352689866,0.141956948,-0.06259353,2.638635358,1.468298579
CD83,2.227274001,1.833901559,-0.222749925,-0.397054411,-4.650855254,-5.078542188
GMPR,0.935077123,0.550424412,-0.178146658,-0.433940515,-2.591291666,-2.695115937
HLA-DQA1,0.929201534,0.766098915,0.056395461,-0.093974885,-3.196722022,-3.556248916
CDKN1A,0.991658726,1.169352131,0.294188071,-0.371522829,-3.988508422,-3.774629601
FSCN1,2.460401062,0.351236269,-0.056304278,-0.187293568,-9.083153364,-6.097935219
ETV1,-1.780096673,-0.841900482,0.138632095,0.11321813,4.111592289,2.598917153
TSPAN13,2.085731454,0.065174073,-0.116294192,-0.297344721,-4.48161708,-5.334890503
NT5C3A,1.990993181,0.906227012,-0.992207127,-0.793312725,-3.060965432,-2.672722881
CD36,0.835870068,1.711033337,-0.095993499,-0.032049111,-3.440136392,-2.950474119
SAMD9,1.229849644,1.001833305,-0.706096857,-0.520064871,-3.138819354,-3.934958791
SAMD9L,1.220089758,0.684011308,-0.649478019,-0.451960218,-4.977629738,-6.102004343
ORAI2,0.423574902,0.372413222,0.271140935,0.28462888,-2.592123167,-2.238924454
RELN,-0.577794563,0.020100534,-0.451343639,0.142747791,2.606896412,2.542450929
TFEC,1.469393556,-0.078475714,-0.284281934,-0.341556354,-2.860491632,-2.056240281
TSPAN33,0.483090129,-0.23414812,0.220342484,0.063102534,-3.1694832,-3.775094298
PARP12,1.499528306,0.512542058,-0.645720912,-0.576813298,-4.743558026,-3.725618837
ZBED6CL,0.482218557,-0.639658282,-0.166941852,-0.287546225,-2.739977083,-0.388280939
TRIB1,1.672980976,-0.126632403,-0.317492392,-0.059684337,-3.142064459,-2.793559655
PARP10,0.875850502,0.500518873,0.276120103,0.065849014,-2.647618262,-1.825430292
CD274,2.258796457,1.494869271,-0.499068172,-0.853082812,-5.226644352,-5.979846938
PAX5,1.897808021,0.995499443,-0.853357349,-0.820067344,-5.737827385,-4.229993147
NINJ1,1.859905104,1.928107514,0.126394568,0.260219424,-2.550867691,-1.731302093
TDRD7,1.675701242,0.922780217,-0.64391895,-0.552459036,-4.371485269,-3.75401486
TXN,1.59781466,0.722266981,-0.148120374,-0.180791713,-2.812867427,-1.934524495
CREM,1.629533274,1.49938099,0.001137736,-0.263643435,-2.466120829,-3.236760319
