"","Symbol","xRNA16h","xRNA6h","pUUC16h","pUUC6h","R84816h","R8486h"
"8630","ADAP2",1.38989248062557,0.274493726796207,1.73402055062771,0.66128680178807,-4.40313572716664,-4.19600702023501
"8631","RNF135",0.0168008222992651,-0.194605770815136,0.142426617682372,-0.0973476345406725,-0.374413423962545,-0.347401151672881
"8632","NF1",-0.431557853224664,0.038005383656989,0.110960420777566,0.211666466229507,-0.292295388718779,-0.854575500125276
"8635","EVI2B",-0.335432194956796,-0.333391503822272,-0.256854676416229,-0.271550070033774,-0.458027503385019,-0.930882280326962
"8636","EVI2A",-0.077353068420517,-0.0113517402532468,-0.395138543145936,-0.137975834164801,-0.63845085035488,-1.34573854192914
"8637","RAB11FIP4",-0.945814033244936,-0.797844934811129,-0.956462734304708,-1.20069486796598,-0.00144222949610439,1.81369770964643
"8638","COPRS",0.00532484075198788,-0.349498989538917,0.0164346216941486,-0.505475758796485,0.327866209974978,0.238333326722195
"8639","UTP6",0.129487826420054,-0.317305656937753,0.256507695532958,-0.304127597025632,-0.111193517507017,0.427943853341166
"8640","SUZ12",-0.0535067168565376,-0.00564701763171889,-0.0489059470731694,0.0876012347268631,0.207105601233466,-0.339186619211413
"8641","LRRC37B",-0.674996545932224,-0.171685366548567,-0.398484938982274,-0.099388408995539,0.372550623282878,0.242390738752734
"8642","RHOT1",-0.212655411715027,-0.400945529232331,-0.0845641348361381,-0.196918641043475,0.0787441717784139,0.371634370330842
"8643","C17orf75",-0.0433387915624509,-0.12688803957475,-0.0708471871556283,-0.0551879724883427,0.557463545641647,0.694881069902111
"8644","ZNF207",0.26070714625686,0.158931276852422,0.408887843813159,0.306133090199873,-0.238866067104307,-0.582766042854435
"8645","PSMD11",0.480182678720345,0.351178951968985,0.545204040414593,0.407590704827684,-0.142381609001741,-0.733716292237958
"8646","CDK5R1",-0.731713650655181,-0.441431912218852,-0.897728178350575,-0.763859399481,1.5931103400027,1.10623504636466
"8647","MYO1D",-1.70869231653311,-0.454649623055638,-1.72850384749854,-0.489976074166176,1.51608526477131,-1.05488212158139
"8648","CCL2",0.806664716146955,2.17164869878098,0.880409580433639,1.53736561393661,0.809174365971194,-3.01462942187909
"8649","CCL1",1.14282110971298,2.72042294561113,0.543540049701916,3.11573797664515,-2.98893827300265,-7.84155186319405
"8650","CCT6B",0.0365692629936018,0.0300558655845012,-0.118562397307849,0.468844765906167,-0.292474481119793,0.0386771889971407
"8651","ZNF830",0.355600984803619,0.154930320239604,0.287816487061798,0.23019396255834,-0.000647508467555229,-0.307283939852707
"8652","LIG3",0.0995698734818361,0.151411164100823,0.307491440038822,0.154661705305758,-0.16206488860824,-0.509516092401698
"8653","RFFL",0.141106215515313,0.389739307365627,0.302567334407126,0.442227587670622,-0.644039566368072,-2.04634295508224
"8654","RAD51D",0.0435673016105767,-0.277457736724675,0.035375803731212,-0.315363681657417,0.40068654554197,0.0849817250603499
"8655","NLE1",0.304794840654551,-0.280471839719242,0.156633994724883,-0.387017151795424,0.302408987286149,1.05874112508758
"8656","SLFN5",1.00306630272061,0.343913356645854,1.71902215402694,0.768961347085271,-5.17703818287892,-5.49893339403364
"8657","SLFN11",0.263871426820144,0.264678763104853,0.623122697071585,0.393658693202519,0.624805554619425,1.86047348273813
"8658","SLFN12",1.13262096771875,0.511837772495215,1.6659504366704,0.863814855008154,-1.93477936835925,-2.28904117329702
"8659","SLFN13",-0.0551093142455905,-0.141556983192436,0.32649607433918,-0.0924984499389654,0.520332261649267,0.746432864179748
"8660","PEX12",-0.25653255458406,-0.148397003857746,-0.113943250752476,0.0412486288451611,0.267513581101719,0.194810346081785
"8661","AP2B1",-0.0502857805222104,-0.0598455114081152,0.146471937462749,0.0588899170989573,0.125515047367143,-0.314081939670939
"8663","TADA2A",0.264278098140341,-0.149299146165728,0.251226525322403,-0.185925952011516,0.0210177131582676,-0.0088348604308749
"8664","DDX52",0.740386794268853,0.300562059846972,1.05350386976331,0.509725013682028,-0.542591559379351,-0.947546052258899
"8665","NPEPPSP1",-0.743403019554895,0.0289196516511923,-0.560807009734729,0.101565141752051,0.0504558218558226,-0.44978097078851
"8666","SOCS7",-0.627505180651169,-0.425891253270087,-0.514996757109483,-0.62179004774642,0.837914534160436,0.902209490404419
"8667","ARHGAP23",-0.270852494121276,0.296839051969275,-0.0948636921257938,0.293663270928048,1.41011353124731,-0.288496730565323
"8668","RPL23",-0.0435483510127984,-0.261064529742214,-0.233825364646399,-0.205796879468954,0.187828001097708,0.472138312368722
