Symbol,xRNA16h,xRNA6h,pUUC16h,pUUC6h,R84816h,R8486h
S100PBP,-0.287096246,-0.424483964,-0.050213004,-0.078902939,0.169073906,0.110287817
RNF19B,0.833472884,0.806802969,-0.078774089,-0.122351855,-2.728211309,-2.909964496
AK2,0.210555705,-0.158845253,-0.071606917,-0.008644553,0.106190354,0.562971048
TRIM62,0.120931803,0.696347346,0.165664822,0.396036456,-0.319980332,0.118387724
ZNF362,-0.240141442,-0.387392771,0.298943243,0.189937056,-0.374523291,0.221725894
PHC2,-0.184986883,-0.223355984,0.185481947,-0.002627333,0.257232587,0.292656925
ZSCAN20,-0.172236874,0.370032253,0.013493364,0.097971268,-0.387493795,-0.340994587
SMIM12,0.48638138,0.17577588,0.181468688,0.107500753,-0.357003936,-0.206899869
ZMYM6,-0.227416429,-0.093563826,0.01865427,0.047343395,-0.082192698,-0.328928218
ZMYM1,-0.12959492,-0.073791405,0.147346341,0.209282983,0.599502882,-0.174656824
SFPQ,0.311467557,0.11897092,-0.153515748,0.003230402,0.170978868,0.104845759
ZMYM4,-0.092059723,0.07553529,-0.178809725,-0.0772933,-0.038761711,-0.202437223
KIAA0319L,-0.312163017,0.188672098,-0.196333705,-0.008537254,-0.383236139,-0.184691183
NCDN,0.509410301,0.227949591,0.425727855,0.36385056,-0.274954041,0.688769225
PSMB2,0.39391522,0.186083774,0.067121617,-0.106473516,-0.270158564,-0.423656694
C1orf216,0.250954644,-0.382715928,0.14452979,0.1211951,0.19433175,0.022242588
CLSPN,0.19630175,0.090636658,-0.167337241,0.00257216,-0.066220371,-0.698864678
AGO4,-0.806789796,-0.435598215,-0.010364059,-0.006087727,0.714032765,0.321686316
AGO1,-0.238497564,0.231785879,-0.231108607,0.035734548,-0.424756708,0.060385385
AGO3,-0.30607191,0.216509642,-0.154959549,0.060108252,0.033530611,-0.438496594
ADPRHL2,0.510639251,0.313567079,0.096198321,-0.240277265,-1.049647728,-0.573098452
COL8A2,-0.979225275,-0.536441453,0.015837728,0.523864012,1.470821991,2.530262915
TRAPPC3,0.235595733,-0.077446841,0.110304189,-0.072788353,-0.32095407,-0.096064154
MAP7D1,0.298211875,-0.043404568,0.378524636,0.075142365,-0.354739879,-0.288407857
THRAP3,0.089648692,0.270296057,-0.142992398,-0.055043457,-0.101605532,-0.552744033
SH3D21,-1.337916857,0.23963371,-0.315370226,-0.440762972,-0.896082518,0.043861604
STK40,0.597134202,-0.09854661,0.236351585,0.103974753,-0.974915122,-0.382060987
LSM10,0.653761876,-0.101897658,0.042904691,-0.064558674,-0.950605482,0.048261199
MRPS15,0.068715475,0.01740247,0.050065356,-0.005204815,-0.201566676,-0.088007292
ZC3H12A,0.638272433,1.234211163,0.130331267,0.126448028,-2.382022184,-2.591016501
MEAF6,-0.107668571,-0.039004951,0.036164436,0.02198262,0.331802308,0.31446193
SNIP1,0.290617826,0.579990305,-0.005857166,0.009557163,0.003845165,-0.670309848
GNL2,0.285776595,0.05641955,-0.147436394,-0.070538296,-0.37724552,-0.09009621
C1orf109,0.333978365,-0.360881293,-0.00183113,0.099538797,0.252178492,0.735257531
CDCA8,0.181576534,0.196049657,0.082970656,-0.092425375,0.288853181,-0.666891371
MANEAL,0.413283831,-0.204251478,0.434293479,0.657015546,-0.070303906,2.043674259
YRDC,0.694217964,-0.182831811,-0.01478282,-0.062821098,-0.484160026,-0.516984069
C1orf122,0.686523346,-0.053193407,0.37988272,-0.022854696,-0.700639561,-0.207114033
MTF1,0.368161948,0.363287139,-0.075860008,0.062820839,-0.428904791,-0.416257325
INPP5B,0.04969182,-0.075716293,-0.09055065,-0.072401454,-0.710284993,-1.237369044
SF3A3,0.265371484,-0.02056963,-0.028131888,-0.079583936,0.012675586,-0.043864846
FHL3,1.045733584,0.458811447,-0.474388618,0.126109319,-2.328172887,-2.205521493
UTP11,0.38248574,-0.13458877,0.013990373,-0.044411096,0.094472569,-0.131498571
RRAGC,0.30509763,0.222205987,0.055923103,-0.201823608,-0.495921477,-0.978652075
MYCBP,-0.199569899,-0.192639878,0.061272232,-0.008419105,0.461152725,0.486014064
AKIRIN1,0.349177902,-0.091076146,0.042928316,-0.035939587,-0.252125353,-0.523889669
NDUFS5,0.236159415,-0.114310114,0.146491957,-0.069138671,0.224735737,-0.025398308
MACF1,-0.999651303,0.53091179,-0.877144424,-0.039592499,-0.062379344,0.235099232
KIAA0754,-0.999651303,0.53091179,-0.877144424,-0.039592499,-0.062379344,0.235099232
BMP8A,-1.503003255,0.383314143,-0.988313313,0.031255,0.415126887,-0.147176342
PPIEL,-0.891810939,0.056635186,-0.764241481,0.213209054,0.133023852,0.280871543
PABPC4,0.061137151,-0.104523325,0.088233239,0.023728653,-0.027439172,0.307934195
PPIE,0.103763707,0.110125871,0.027227492,0.005604809,-0.014492686,0.204298814
BMP8B,-0.774515527,-0.041837157,0.054924343,0.22837791,1.60005915,-0.523377033
OXCT2,0.08436419,0.020276438,0.349290061,0.364595454,0.973575918,0.175077352
TRIT1,-0.280790903,-0.337235163,-0.080982334,-0.080306305,-0.238365265,0.155516642
